,airing_data_id,airing_data_aired_at_et,creative_data_id,brand_data_id,view_completion_data_rate_interruption,airing_data_spend_estimated,audience_data_impressions,brand_data_name
0,190773850,2019-01-01T00:02:06-05:00,1717492,30822,0.67570946,216.19,94003.0,Tostitos
1,190773852,2019-01-01T00:02:21-05:00,2006175,21211,1.67220736,216.19,82504.0,T-Mobile
2,190773856,2019-01-01T00:02:36-05:00,2032311,19871,2.34899329,216.19,96463.0,Electronic Arts (EA)
3,190773857,2019-01-01T00:02:22-05:00,2041374,30484,0.0,651.79,67223.0,Taco Bell
4,190773864,2019-01-01T00:02:58-05:00,2041781,32537,1.54239075,530.96,172424.0,Delsym
5,190773870,2019-01-01T00:03:13-05:00,1999050,69786,0.25709512,530.96,216389.0,Lysol (Laundry)
6,190773875,2019-01-01T00:03:12-05:00,2041310,19371,3.38982906,727.99,78647.0,AT&T Wireless
7,190773877,2019-01-01T00:03:28-05:00,2034760,20399,0.49380247,530.96,191324.0,Macy's
8,190773882,2019-01-01T00:03:42-05:00,1874594,31367,0.0,364.0,110403.0,Old El Paso
9,190773887,2019-01-01T00:03:37-05:00,1967716,19311,3.92156863,651.79,68391.0,Honda
10,190773889,2019-01-01T00:03:57-05:00,1899290,32276,0.86208696,364.0,98223.0,Emergen-C
11,190773899,2019-01-01T00:04:23-05:00,2034793,21158,0.49140049,502.19,175973.0,The Home Depot
12,190773902,2019-01-01T00:04:28-05:00,1841093,19831,0.9412,530.96,232787.0,Dole
13,190773904,2019-01-01T00:04:23-05:00,1807820,52005,6.04170006,198426.16,10766534.0,Capital One (Credit Card)
14,190773906,2019-01-01T00:04:27-05:00,2043066,20006,0.0,727.99,158147.0,GEICO
15,190773914,2019-01-01T00:04:57-05:00,2044175,21369,0.0,364.0,157788.0,Wendy's
16,190773921,2019-01-01T00:05:12-05:00,1663306,31050,0.86956522,364.0,158221.0,PediaSure
17,190773930,2019-01-01T00:05:27-05:00,1602823,30377,0.87719298,364.0,106456.0,Crest
18,190773934,2019-01-01T00:05:38-05:00,2043733,19536,1.51130982,502.19,258311.0,Burger King
19,190773947,2019-01-01T00:05:53-05:00,1667003,32138,2.49889978,198426.16,14497832.0,Northwestern Mutual
20,190773950,2019-01-01T00:05:53-05:00,1972467,21077,1.52669211,1004.37,182797.0,Subaru
21,190773976,2019-01-01T00:06:23-05:00,2041439,19288,1.53061224,1004.37,186416.0,Allstate
22,190773982,2019-01-01T00:06:54-05:00,2043348,30672,0.0,188.69,245163.0,Applebee's
23,190773999,2019-01-01T00:07:09-05:00,2034119,21158,0.0,188.69,181281.0,The Home Depot
24,190774014,2019-01-01T00:07:05-05:00,2043515,20006,1.69491525,1516.35,146298.0,GEICO
25,190774035,2019-01-01T00:07:24-05:00,2031098,30584,2.74010008,198426.16,14499899.0,Buick
26,190774042,2019-01-01T00:07:46-05:00,2043534,30658,0.0,194.24,156585.0,Centrum
27,190774061,2019-01-01T00:07:50-05:00,2041587,32225,1.25809978,61603.84,4785311.0,Cigna
28,190774078,2019-01-01T00:08:16-05:00,2043136,31149,0.76339695,194.24,187832.0,Golden Corral
29,190774101,2019-01-01T00:08:24-05:00,2044183,20443,1.49250746,745.23,149056.0,McDonald's
30,190774107,2019-01-01T00:08:31-05:00,2041814,20661,0.0,194.24,167412.0,Office Depot & OfficeMax
31,190774130,2019-01-01T00:08:39-05:00,2041814,20661,0.6006006,745.23,141134.0,Office Depot & OfficeMax
32,190774132,2019-01-01T00:08:42-05:00,2044035,21011,3.27866667,40.51,24339.0,Sonic Drive-In
33,190774137,2019-01-01T00:08:50-05:00,1648661,30248,0.65319904,30801.92,2170.0,Tylenol
34,190774140,2019-01-01T00:08:51-05:00,2041680,30484,1.7699115,758.18,110644.0,Taco Bell
35,190774145,2019-01-01T00:08:56-05:00,2006175,21211,0.41491667,297.54,67953.0,T-Mobile
